payload;span;aspect_ratio;airfoil;total mass;take_off_length;climb_height;efficiency_points;distance;score_payload;score_efficiency;score_distance;b_loading;penalty_current;take_off_factor;penalty_round;score_round;score_round_corrected;wing_area;wing_loading
4.59;2.5;14;ag19;7.574190337;110.2654866;12.30020934;0.557518937;2848.157562;765;753.4039684;890.049238;54.66666667;0;1;0;857.4844021;0;0.446428571;169.6618636
4.59;2.5;16;ag19;7.789126465;89.76645101;11.5358523;0.559786643;2865.684174;765;756.4684364;895.5263045;54.66666667;0;1;0;860.3315803;0;0.390625;199.4016375
4.59;3;10;ag19;7.215670664;74.55544546;26.31622133;0.515762658;2645.994724;765;696.9765654;826.8733511;54.66666667;0;1;0;817.6166388;0;0.9;80.17411848
4.59;3;12;ag19;8.303710982;68.78031371;11.25612393;0.526704941;2718.942645;765;711.7634337;849.6695766;54.66666667;0;1;0;830.1443368;0;0.75;110.7161464
4.59;3;14;ag19;8.287453568;61.16288656;11.35957839;0.532119412;2759.063059;765;719.0802862;862.207206;54.66666667;0;1;0;836.7624974;0;0.642857143;128.9159444
4.59;3;16;ag19;8.253405843;61.20506853;11.45171156;0.550959769;2788.195948;765;744.5402279;871.3112339;54.66666667;0;1;0;848.2838206;0;0.5625;146.727215
4.59;3.5;10;ag19;7.649547742;67.48206071;19.85836259;0.47266339;2533.078439;765;638.7343108;791.5870122;54.66666667;0;1;0;786.440441;0;1.225;62.44528769
5.1;1.5;8;ag19;6.770043939;182.2181899;11.23460485;0.577041246;2870.144553;850;779.7854679;896.9201728;54.66666667;0;1;0;896.9018802;0;0.28125;240.7126734
5.1;1.5;10;ag19;7.079306187;162.2353626;9.33504281;0.561051685;2884.964423;850;758.1779526;901.5513822;54.66666667;0;1;0;891.2431116;0;0.225;314.6358305
5.1;1.5;12;ag19;7.066431425;155.3829338;7.618757912;0.579354404;2905.186821;850;782.9113573;907.8708817;54.66666667;0;1;0;901.5940796;0;0.1875;376.8763427
5.1;1.5;14;ag19;7.141994997;143.8105839;5.647284651;0.586621628;2904.621653;850;792.7319293;907.6942667;54.66666667;0;1;0;904.808732;0;0.160714286;444.3907998
5.1;1.5;16;ag19;7.135928825;138.5137311;3.288298708;0.584105823;2899.707389;850;789.3321926;906.1585591;54.66666667;0;1;0;903.1635839;0;0.140625;507.4438275
5.1;2;8;ag19;7.050380555;165.8298236;12.55453243;0.550640779;2799.779529;850;744.1091604;874.9311029;54.66666667;0;1;0;877.6800878;0;0.5;141.0076111
5.1;2;10;ag19;7.595052902;136.2641823;10.96289403;0.565868481;2836.86369;850;764.6871363;886.5199031;54.66666667;0;1;0;888.4023465;0;0.4;189.8763226
5.1;2;12;ag19;7.574458768;129.4124453;10.89983777;0.569838779;2866.49563;850;770.0524047;895.7798844;54.66666667;0;1;0;893.2774297;0;0.333333333;227.233763
5.1;2;16;ag19;7.686847127;108.0102211;9.432214747;0.580993728;2889.64326;850;785.1266598;903.0135187;54.66666667;0;1;0;900.7133928;0;0.25;307.4738851
