payload;span;aspect_ratio;airfoil;total mass;take_off_length;climb_height;efficiency_points;distance;score_payload;score_efficiency;score_distance;b_loading;penalty_current;take_off_factor;penalty_round;score_round;score_round_corrected
3.06;3.5;10; ag45c;5.730906395;13.40100982;63.12022145;0.570178726;2520.237478;510;770.5117913;787.574212;54.66666667;0;1.05;0;781.2301011;781.2301011
1.53;2;16; ag45c;3.006723258;21.15507583;100;0.630112784;3078.382787;255;851.503762;961.994621;54.66666667;0;1.05;0;781.374434;781.374434
1.53;3;14; ag45c;3.475089459;7.316253913;100;0.689898168;2824.96558;255;932.2948211;882.8017437;54.66666667;0;1.05;0;781.9337977;781.9337977
2.04;3.5;12; ag45c;4.442078786;7.452088803;91.40918718;0.675095361;2619.979346;340;912.291028;818.7435456;54.66666667;0;1.05;0;782.2621008;782.2621008
1.02;1.5;16; ag45c;2.27123678;22.53067086;100;0.674284015;3175.416871;170;911.1946153;992.3177721;54.66666667;0;1.05;0;783.1293356;783.1293356
2.04;2;12; ag45c;3.57100763;21.46303982;100;0.590230031;3013.171603;340;797.6081495;941.6161259;54.66666667;0;1.05;0;785.1284964;785.1284964
1.53;2.5;12; ag45c;3.257696139;7.945714227;100;0.684333159;2895.09842;255;924.7745394;904.7182562;54.66666667;0;1.05;0;786.9724785;786.9724785
1.53;3;16; ag45c;3.439462928;10.47325879;100;0.694679312;2864.587917;255;938.7558264;895.1837239;54.66666667;0;1.05;0;788.5288426;788.5288426
3.57;3;16; ag45c;5.965027139;49.90167497;51.53532489;0.538724397;2823.740224;595;728.0059422;882.4188201;54.66666667;0;1;0;789.8082541;789.8082541
2.04;1.5;14; ag45c;3.389492917;50.85310177;100;0.652396359;3155.782012;340;881.6167009;986.1818787;54.66666667;0;1;0;790.5995265;790.5995265
3.57;3.5;10; ag45c;6.2894685;18.78769213;54.58413761;0.53588862;2507.245202;595;724.1738107;783.5141257;54.66666667;0;1.05;0;793.3407777;793.3407777
1.53;2;10; ag45c;3.054485159;12.12738607;100;0.681870091;2973.650373;255;921.4460686;929.2657416;54.66666667;0;1.05;0;794.3991336;794.3991336
2.55;3.5;12; ag45c;5.015561944;10.83099724;77.45050004;0.640391915;2610.223471;425;865.3944791;815.6948347;54.66666667;0;1.05;0;794.5312598;794.5312598
1.53;1.5;10; ag45c;2.833735779;17.72244299;100;0.649199126;3120.477681;255;877.2961161;975.1492754;54.66666667;0;1.05;0;795.005887;795.005887
4.59;3.5;8; ag45c;7.696125616;28.27550088;36.84143877;0.446709382;2367.003336;765;603.6613275;739.6885426;54.66666667;0;1.05;0;795.3224545;795.3224545
2.04;3;10; ag45c;4.212896398;8.024798862;97.34252781;0.690899246;2671.66713;340;933.6476295;834.8959782;54.66666667;0;1.05;0;795.3902627;795.3902627
3.57;3;8; ag45c;6.082760795;17.16560883;56.01224829;0.534986794;2531.352084;595;722.9551268;791.0475262;54.66666667;0;1.05;0;795.5509286;795.5509286
1.53;1.5;12; ag45c;2.815814371;22.83711513;100;0.644489979;3149.146488;255;870.9324044;984.1082775;54.66666667;0;1.05;0;795.9142387;795.9142387
2.55;2;14; ag45c;4.138467016;40.14389232;89.98078384;0.628687831;3037.976885;425;849.5781494;949.3677767;54.66666667;0;1;0;795.9819754;795.9819754
2.04;3.5;14; ag45c;4.358050184;10.26717567;93.06010054;0.691101665;2682.208465;340;933.9211694;838.1901452;54.66666667;0;1.05;0;796.6389601;796.6389601
1.53;2.5;14; ag45c;3.210253449;11.42217694;100;0.694653783;2939.804051;255;938.7213287;918.6887659;54.66666667;0;1.05;0;796.7435331;796.7435331
2.04;2.5;8; ag45c;4.018329781;8.562639165;100;0.685504091;2721.510351;340;926.3568791;850.4719847;54.66666667;0;1.05;0;798.2901024;798.2901024
2.04;2;14; ag45c;3.567115437;26.11420112;100;0.610676058;3053.375366;340;825.2379161;954.1798019;54.66666667;0;1.05;0;799.1962013;799.1962013
2.55;2;10; ag45c;4.154556738;25.6914286;93.55482723;0.576774807;2949.399586;425;779.425415;921.6873708;54.66666667;0;1.05;0;801.539475;801.539475
1.53;2.5;16; ag45c;3.20955371;11.45133873;100;0.699024666;2972.549527;255;944.6279275;928.9217271;54.66666667;0;1.05;0;802.3923791;802.3923791
3.06;3.5;12; ag45c;5.584071418;16.75369193;65.15225509;0.596922379;2601.521054;510;806.6518629;812.9753294;54.66666667;0;1.05;0;802.7695173;802.7695173
1.53;2;12; ag45c;3.007234998;12.38524608;100;0.690733421;3021.70612;255;933.4235423;944.2831624;54.66666667;0;1.05;0;803.8473466;803.8473466
4.08;3.5;14; ag45c;6.748140711;40.41905861;44.58406961;0.550881467;2647.193773;680;744.4344151;827.2480542;54.66666667;0;1;0;805.2274898;805.2274898
